N	Threads	Schedule	Chunk	Time(s)
1000	8	static	10	0.62061
1000	8	static	50	0.665223
1000	8	static	100	0.858141
1000	8	dynamic	10	0.625504
1000	8	dynamic	50	0.684814
1000	8	dynamic	100	0.860565
1000	8	guided	10	0.608631
1000	8	guided	50	0.685809
1000	8	guided	100	0.88093
1000	16	static	10	0.63285
1000	16	static	50	0.67655
1000	16	static	100	0.64059
1000	16	dynamic	10	0.609123
1000	16	dynamic	50	0.678578
1000	16	dynamic	100	0.635864
1000	16	guided	10	0.609627
1000	16	guided	50	0.71338
1000	16	guided	100	0.647466
2000	8	static	10	7.9109
2000	8	static	50	7.84964
2000	8	static	100	9.03965
2000	8	dynamic	10	7.94018
2000	8	dynamic	50	8.12456
2000	8	dynamic	100	9.00843
2000	8	guided	10	7.89499
2000	8	guided	50	8.40411
2000	8	guided	100	8.89698
2000	16	static	10	6.94356
2000	16	static	50	7.10915
2000	16	static	100	8.17106
2000	16	dynamic	10	6.97701
2000	16	dynamic	50	7.04302
2000	16	dynamic	100	8.2232
2000	16	guided	10	6.9605
2000	16	guided	50	7.32839
2000	16	guided	100	8.22497
